TIENDA,SHOPIFY_ID,NOMBRE,PRECIO,TALLAS,IMAGEN_URL,ACTIVO,STOCK
MANDARINA,8060076392541,Hoodie He-Man,25.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/HEMAN-01.png?v=1769394352,TRUE,10
MANDARINA,8060076490845,Hoodie Skeletor He-Man Masters del Universo,25.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/HEMAN-02.png?v=1769394559,TRUE,10
MANDARINA,8060325494877,Hoodie ThunderCats,25.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/HOODIES-02.png?v=1769398034,TRUE,10
MANDARINA,8060329885789,Hoodie Garfield,25.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/HOODIES-04_1ac72db6-17d1-40a2-bf31-835499bd9fcc.png?v=1769398439,TRUE,10
MANDARINA,8060331458653,Chaqueta Star Wars Edicion Especial,35.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/star-19.png?v=1747521027,TRUE,10
MANDARINA,8063557730397,Chaqueta Dragon Ball Z Blue,35.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/retrojacket-02.png?v=1769574927,TRUE,10
MANDARINA,8063557763165,Chaqueta Dragon Ball Z Roja,35.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/retrojacket_Mesa_de_trabajo_1.png?v=1769574971,TRUE,10
MANDARINA,8063557795933,Chaqueta Dragon Ball Z,35.00,"2XL, XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/retrojacket-04.png?v=1769575014,TRUE,10
MANDARINA,8078554660957,Pijama Gravity Falls Dipper,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/PIJAMAGRAVITIFALLS-01.png?v=1771384949,TRUE,10
MANDARINA,8078554759261,Pijama Gravity Falls Mabel,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/PIJAMA_GRAVITIFALLS-03.png?v=1771385151,TRUE,10
MANDARINA,8089792020573,Hoodie One Piece Luffy Nakamas Red,35.00,"XS, S, M, L, XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhatsAppImage2026-03-12at21.41.43_1.jpg?v=1773370778,TRUE,10
MANDARINA,8089792151645,Hoodie Zoro One Piece,35.00,"XS, S, M, L, XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhatsAppImage2026-03-12at21.53.20.jpg?v=1773371391,TRUE,10
MANDARINA,8095889227869,Hoodie Sweater Jurassic Park,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhatsAppImage2026-03-24at10.21.45_1.jpg?v=1774378527,TRUE,10
MANDARINA,8099044622429,Hoodie Donkey Kong Streetwear Retro Gamer,35.00,"XS, S, M, L, XL, 2XL, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/DK-04.png?v=1774671455,TRUE,10
MANDARINA,8104418115677,Hoodie Minecraft,35.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/MINECRAFT-01.png?v=1775354626,TRUE,10
MANDARINA,8107831623773,Hoodie Gengar Pokemon,35.00,"XS, S, M, L, XL, 2XL, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhatsAppImage2026-04-09at22.03.46.jpg?v=1775790501,TRUE,10
MANDARINA,8116046331997,Hoodie Last Ronin Tortugas Ninja,35.00,"XS, S, M, L, XL, 2XL, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/rn-image_picker_lib_temp_a1774c51-6221-44ed-9511-b497a85399f5.jpg?v=1779496122,TRUE,10
MANDARINA,8123655618653,Hoodie Ciclope X-Men,35.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/XMEN-01.png?v=1777349762,TRUE,10
